policy_id,title,sector,region,year,impact_score,goals
P1167,District Primary Education Reform 77,Primary,Maharashtra,2025,0.495,Increase learning outcomes score by 5% within 3 years and reduce disparities between rural and urban areas.
P1168,District Early Childhood Education Reform 90,Secondary,West Bengal,2016,0.543,"Train 2982 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes."
P1169,State Secondary Education Reform 1,Primary,Maharashtra,2016,0.167,Increase vocational skills score by 21% within 4 years and reduce disparities between rural and urban areas.
P1170,State Higher Education Education Reform 55,Primary,Maharashtra,2015,0.95,"Train 2857 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes."
P1171,State Secondary Education Reform 15,Secondary,Karnataka,2017,0.261,Increase digital access score by 36% within 1 years and reduce disparities between rural and urban areas.
P1172,District Higher Education Education Reform 2,Early Childhood,Punjab,2024,0.529,Increase vocational skills score by 5% within 2 years and reduce disparities between rural and urban areas.
P1173,State Secondary Education Reform 43,Higher Education,Karnataka,2023,0.509,"Train 3712 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes."
P1174,District Early Childhood Education Reform 1,Primary,Punjab,2024,0.946,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1175,State Higher Education Education Reform 82,Higher Education,Rajasthan,2023,0.225,Increase vocational skills score by 17% within 2 years and reduce disparities between rural and urban areas.
P1176,District Higher Education Education Reform 14,Vocational,Karnataka,2025,0.951,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1177,National Vocational Education Reform 85,Early Childhood,Punjab,2020,0.344,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1178,National Secondary Education Reform 80,Higher Education,Kerala,2025,0.6,"Train 4423 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes."
P1179,District Primary Education Reform 26,Higher Education,Tamil Nadu,2019,0.282,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1180,State Vocational Education Reform 54,Higher Education,Rajasthan,2015,0.839,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1181,National Early Childhood Education Reform 16,Vocational,Karnataka,2021,0.105,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1182,National Higher Education Education Reform 68,Secondary,Tamil Nadu,2023,0.182,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1183,District Higher Education Education Reform 58,Secondary,Punjab,2024,0.443,Increase early childhood development score by 37% within 5 years and reduce disparities between rural and urban areas.
P1184,State Early Childhood Education Reform 11,Primary,Tamil Nadu,2023,0.87,Increase digital access score by 6% within 4 years and reduce disparities between rural and urban areas.
P1185,National Higher Education Education Reform 72,Primary,Punjab,2018,0.485,Increase learning outcomes score by 9% within 5 years and reduce disparities between rural and urban areas.
P1186,National Higher Education Education Reform 88,Higher Education,Punjab,2016,0.522,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1187,National Primary Education Reform 1,Early Childhood,Punjab,2021,0.288,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1188,District Vocational Education Reform 83,Early Childhood,Maharashtra,2019,0.534,"Train 869 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes."
P1189,District Higher Education Education Reform 89,Early Childhood,Tamil Nadu,2024,0.104,"Train 2316 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes."
P1190,State Early Childhood Education Reform 14,Secondary,Punjab,2016,0.334,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1191,District Vocational Education Reform 84,Secondary,Kerala,2021,0.181,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1192,State Primary Education Reform 29,Vocational,Uttar Pradesh,2016,0.561,"Train 430 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1193,District Secondary Education Reform 49,Vocational,Kerala,2024,0.56,Increase teacher quality score by 37% within 2 years and reduce disparities between rural and urban areas.
P1194,District Higher Education Education Reform 28,Secondary,Tamil Nadu,2017,0.741,Increase digital access score by 31% within 1 years and reduce disparities between rural and urban areas.
P1195,National Secondary Education Reform 81,Early Childhood,Karnataka,2024,0.56,Increase digital access score by 18% within 4 years and reduce disparities between rural and urban areas.
P1196,District Secondary Education Reform 75,Secondary,Punjab,2025,0.921,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1197,National Early Childhood Education Reform 13,Secondary,Gujarat,2024,0.903,"Train 4326 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes."
P1198,District Early Childhood Education Reform 13,Vocational,Tamil Nadu,2019,0.464,Increase infrastructure score by 38% within 1 years and reduce disparities between rural and urban areas.
P1199,State Primary Education Reform 20,Vocational,Punjab,2019,0.772,"Train 1514 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes."
P1200,District Vocational Education Reform 95,Secondary,Maharashtra,2018,0.8,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1201,National Higher Education Education Reform 29,Higher Education,Maharashtra,2024,0.355,Increase early childhood development score by 17% within 5 years and reduce disparities between rural and urban areas.
P1202,District Secondary Education Reform 79,Secondary,Karnataka,2020,0.794,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1203,District Higher Education Education Reform 45,Higher Education,Uttar Pradesh,2024,0.256,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1204,State Early Childhood Education Reform 62,Secondary,Kerala,2022,0.16,"Train 2636 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes."
P1205,National Vocational Education Reform 87,Higher Education,Maharashtra,2023,0.339,Increase vocational skills score by 20% within 3 years and reduce disparities between rural and urban areas.
P1206,State Secondary Education Reform 14,Primary,Maharashtra,2025,0.953,Increase digital access score by 36% within 2 years and reduce disparities between rural and urban areas.
P1207,National Early Childhood Education Reform 55,Vocational,Rajasthan,2015,0.507,Increase learning outcomes score by 5% within 2 years and reduce disparities between rural and urban areas.
P1208,District Higher Education Education Reform 24,Early Childhood,Delhi,2018,0.477,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1209,District Higher Education Education Reform 31,Early Childhood,West Bengal,2021,0.257,Increase digital access score by 21% within 5 years and reduce disparities between rural and urban areas.
P1210,National Higher Education Education Reform 61,Primary,Gujarat,2020,0.406,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1211,National Vocational Education Reform 79,Higher Education,Gujarat,2025,0.609,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1212,State Higher Education Education Reform 96,Early Childhood,Rajasthan,2022,0.748,"Train 1775 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes."
P1213,National Vocational Education Reform 68,Primary,Maharashtra,2019,0.375,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1214,State Vocational Education Reform 70,Higher Education,Rajasthan,2022,0.487,"Train 2894 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes."
P1215,State Secondary Education Reform 39,Primary,Karnataka,2023,0.107,"Train 3576 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes."
P1216,State Secondary Education Reform 21,Vocational,West Bengal,2018,0.78,Increase early childhood development score by 31% within 2 years and reduce disparities between rural and urban areas.
P1217,District Vocational Education Reform 80,Vocational,Delhi,2024,0.963,Increase learning outcomes score by 33% within 1 years and reduce disparities between rural and urban areas.
P1218,National Higher Education Education Reform 54,Higher Education,Gujarat,2020,0.15,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1219,State Secondary Education Reform 95,Primary,Uttar Pradesh,2022,0.933,"Train 4552 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1220,National Secondary Education Reform 82,Vocational,Kerala,2015,0.108,"Train 4934 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes."
P1221,State Primary Education Reform 8,Higher Education,Tamil Nadu,2023,0.974,"Train 224 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes."
P1222,State Early Childhood Education Reform 90,Vocational,Uttar Pradesh,2024,0.872,"Train 4401 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes."
P1223,District Early Childhood Education Reform 49,Secondary,Karnataka,2024,0.686,"Train 4567 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes."
P1224,District Primary Education Reform 6,Secondary,Tamil Nadu,2015,0.608,Increase digital access score by 19% within 5 years and reduce disparities between rural and urban areas.
P1225,State Primary Education Reform 47,Early Childhood,West Bengal,2020,0.843,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1226,District Secondary Education Reform 72,Early Childhood,West Bengal,2016,0.886,"Train 4184 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes."
P1227,State Vocational Education Reform 98,Vocational,Kerala,2024,0.42,Increase digital access score by 6% within 5 years and reduce disparities between rural and urban areas.
P1228,National Higher Education Education Reform 3,Higher Education,Rajasthan,2023,0.239,Increase teacher quality score by 24% within 1 years and reduce disparities between rural and urban areas.
P1229,State Secondary Education Reform 63,Early Childhood,Maharashtra,2024,0.44,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1230,State Early Childhood Education Reform 6,Higher Education,Rajasthan,2024,0.964,"Train 1869 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes."
P1231,District Primary Education Reform 71,Vocational,Delhi,2016,0.598,"Train 4647 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes."
P1232,National Vocational Education Reform 55,Higher Education,Kerala,2018,0.979,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1233,District Primary Education Reform 32,Early Childhood,Tamil Nadu,2019,0.12,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1234,District Early Childhood Education Reform 6,Higher Education,Tamil Nadu,2015,0.159,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1235,State Early Childhood Education Reform 69,Primary,Tamil Nadu,2018,0.371,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1236,District Higher Education Education Reform 50,Primary,Rajasthan,2019,0.178,"Train 3468 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes."
P1237,National Secondary Education Reform 84,Secondary,Punjab,2023,0.91,"Train 2650 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1238,State Vocational Education Reform 53,Higher Education,Gujarat,2025,0.217,Increase learning outcomes score by 19% within 2 years and reduce disparities between rural and urban areas.
P1239,District Early Childhood Education Reform 61,Higher Education,Tamil Nadu,2021,0.129,"Train 1711 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes."
P1240,National Vocational Education Reform 52,Primary,Punjab,2021,0.628,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1241,District Primary Education Reform 72,Vocational,Rajasthan,2025,0.789,"Train 2461 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1242,National Secondary Education Reform 75,Early Childhood,Tamil Nadu,2021,0.625,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1243,National Early Childhood Education Reform 91,Vocational,Rajasthan,2024,0.912,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1244,District Secondary Education Reform 16,Secondary,Uttar Pradesh,2015,0.584,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1245,National Early Childhood Education Reform 36,Early Childhood,Rajasthan,2018,0.133,Increase learning outcomes score by 8% within 1 years and reduce disparities between rural and urban areas.
P1246,District Early Childhood Education Reform 74,Early Childhood,Tamil Nadu,2022,0.387,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1247,National Secondary Education Reform 79,Primary,Maharashtra,2024,0.931,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1248,National Early Childhood Education Reform 30,Higher Education,Uttar Pradesh,2015,0.756,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1249,State Primary Education Reform 40,Higher Education,Rajasthan,2023,0.452,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1250,National Vocational Education Reform 69,Higher Education,Gujarat,2021,0.594,"Train 2946 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1251,District Early Childhood Education Reform 50,Secondary,Punjab,2016,0.468,"Train 2529 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes."
P1252,National Vocational Education Reform 65,Primary,Gujarat,2023,0.376,"Train 1730 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1253,National Higher Education Education Reform 60,Primary,Maharashtra,2023,0.669,Increase infrastructure score by 39% within 3 years and reduce disparities between rural and urban areas.
P1254,National Higher Education Education Reform 15,Primary,Punjab,2023,0.383,"Train 1453 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1255,National Vocational Education Reform 87,Primary,Maharashtra,2021,0.893,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1256,District Vocational Education Reform 13,Vocational,Delhi,2025,0.228,Increase early childhood development score by 25% within 4 years and reduce disparities between rural and urban areas.
P1257,State Vocational Education Reform 60,Secondary,Delhi,2020,0.39,Increase vocational skills score by 20% within 5 years and reduce disparities between rural and urban areas.
P1258,National Higher Education Education Reform 27,Early Childhood,West Bengal,2021,0.758,Increase vocational skills score by 25% within 5 years and reduce disparities between rural and urban areas.
P1259,National Early Childhood Education Reform 14,Early Childhood,West Bengal,2020,0.89,Increase vocational skills score by 29% within 5 years and reduce disparities between rural and urban areas.
P1260,District Higher Education Education Reform 56,Higher Education,Maharashtra,2024,0.429,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1261,District Vocational Education Reform 52,Vocational,West Bengal,2023,0.442,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1262,National Primary Education Reform 18,Vocational,Gujarat,2024,0.83,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1263,National Primary Education Reform 73,Vocational,Kerala,2016,0.975,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1264,State Early Childhood Education Reform 7,Higher Education,Rajasthan,2015,0.475,Increase teacher quality score by 21% within 1 years and reduce disparities between rural and urban areas.
P1265,District Higher Education Education Reform 95,Early Childhood,Karnataka,2019,0.324,"Train 166 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1266,State Secondary Education Reform 63,Secondary,Rajasthan,2015,0.845,Increase digital access score by 27% within 1 years and reduce disparities between rural and urban areas.
P1267,State Vocational Education Reform 39,Vocational,Rajasthan,2018,0.875,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1268,State Higher Education Education Reform 13,Higher Education,Punjab,2021,0.379,"Train 147 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes."
P1269,District Higher Education Education Reform 33,Secondary,Karnataka,2015,0.946,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1270,State Vocational Education Reform 85,Primary,Gujarat,2019,0.347,"Train 542 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes."
P1271,State Secondary Education Reform 83,Vocational,Maharashtra,2017,0.912,Increase vocational skills score by 21% within 4 years and reduce disparities between rural and urban areas.
P1272,District Vocational Education Reform 35,Secondary,Kerala,2021,0.851,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1273,National Primary Education Reform 47,Early Childhood,Kerala,2016,0.593,"Train 3245 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1274,National Secondary Education Reform 4,Early Childhood,Uttar Pradesh,2022,0.96,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1275,District Early Childhood Education Reform 20,Early Childhood,Uttar Pradesh,2016,0.907,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1276,National Primary Education Reform 15,Vocational,Punjab,2024,0.389,Increase vocational skills score by 7% within 5 years and reduce disparities between rural and urban areas.
P1277,National Vocational Education Reform 22,Higher Education,Rajasthan,2017,0.435,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1278,National Secondary Education Reform 82,Higher Education,Rajasthan,2022,0.631,Increase vocational skills score by 31% within 1 years and reduce disparities between rural and urban areas.
P1279,District Higher Education Education Reform 98,Early Childhood,Rajasthan,2018,0.809,"Train 1358 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1280,District Vocational Education Reform 6,Primary,Karnataka,2023,0.163,Increase infrastructure score by 25% within 2 years and reduce disparities between rural and urban areas.
P1281,District Vocational Education Reform 26,Vocational,Uttar Pradesh,2016,0.292,Increase early childhood development score by 34% within 2 years and reduce disparities between rural and urban areas.
P1282,National Early Childhood Education Reform 8,Higher Education,Tamil Nadu,2016,0.296,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1283,State Primary Education Reform 94,Vocational,Uttar Pradesh,2018,0.942,"Train 378 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes."
P1284,State Vocational Education Reform 31,Primary,Rajasthan,2015,0.313,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1285,State Vocational Education Reform 91,Primary,Maharashtra,2021,0.721,Increase early childhood development score by 8% within 5 years and reduce disparities between rural and urban areas.
P1286,State Early Childhood Education Reform 6,Higher Education,Kerala,2017,0.312,Increase learning outcomes score by 27% within 3 years and reduce disparities between rural and urban areas.
P1287,State Vocational Education Reform 63,Early Childhood,Rajasthan,2016,0.268,Increase digital access score by 9% within 1 years and reduce disparities between rural and urban areas.
P1288,National Secondary Education Reform 67,Primary,Delhi,2021,0.757,"Train 230 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes."
P1289,District Early Childhood Education Reform 71,Vocational,Gujarat,2019,0.302,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1290,National Secondary Education Reform 21,Secondary,Maharashtra,2015,0.283,"Train 2866 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes."
P1291,State Vocational Education Reform 99,Secondary,Gujarat,2020,0.522,Increase teacher quality score by 26% within 1 years and reduce disparities between rural and urban areas.
P1292,State Primary Education Reform 52,Early Childhood,Uttar Pradesh,2022,0.619,"Train 734 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes."
P1293,District Early Childhood Education Reform 8,Higher Education,West Bengal,2017,0.353,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1294,National Early Childhood Education Reform 77,Primary,Tamil Nadu,2018,0.773,Increase learning outcomes score by 40% within 4 years and reduce disparities between rural and urban areas.
P1295,District Vocational Education Reform 6,Higher Education,Punjab,2019,0.237,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1296,National Higher Education Education Reform 64,Primary,Punjab,2020,0.967,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1297,National Primary Education Reform 35,Higher Education,West Bengal,2025,0.557,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1298,District Early Childhood Education Reform 46,Secondary,Karnataka,2017,0.403,"Train 4173 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes."
P1299,National Primary Education Reform 62,Higher Education,Delhi,2020,0.126,"Train 1906 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes."
P1300,National Vocational Education Reform 97,Vocational,Karnataka,2018,0.139,Increase teacher quality score by 17% within 2 years and reduce disparities between rural and urban areas.
P1301,District Higher Education Education Reform 46,Secondary,Rajasthan,2024,0.571,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1302,State Primary Education Reform 24,Higher Education,West Bengal,2021,0.21,"Train 3009 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes."
P1303,State Vocational Education Reform 77,Higher Education,Gujarat,2018,0.268,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1304,National Vocational Education Reform 52,Early Childhood,Maharashtra,2017,0.851,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1305,State Early Childhood Education Reform 36,Secondary,Gujarat,2016,0.126,"Train 269 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes."
P1306,National Primary Education Reform 85,Early Childhood,Gujarat,2022,0.583,"Train 3575 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1307,National Secondary Education Reform 72,Higher Education,Tamil Nadu,2022,0.78,"Train 3948 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes."
P1308,District Higher Education Education Reform 99,Higher Education,Kerala,2015,0.821,"Train 3167 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1309,National Secondary Education Reform 83,Higher Education,Punjab,2016,0.118,Increase teacher quality score by 22% within 1 years and reduce disparities between rural and urban areas.
P1310,District Vocational Education Reform 42,Early Childhood,Maharashtra,2022,0.248,Increase teacher quality score by 39% within 2 years and reduce disparities between rural and urban areas.
P1311,State Secondary Education Reform 80,Primary,Punjab,2016,0.523,"Train 4184 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes."
P1312,District Early Childhood Education Reform 59,Early Childhood,Tamil Nadu,2015,0.338,Increase vocational skills score by 38% within 2 years and reduce disparities between rural and urban areas.
P1313,District Higher Education Education Reform 56,Vocational,Kerala,2016,0.675,Increase teacher quality score by 12% within 2 years and reduce disparities between rural and urban areas.
P1314,State Early Childhood Education Reform 56,Vocational,Karnataka,2018,0.686,"Train 213 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1315,State Secondary Education Reform 31,Primary,Punjab,2023,0.634,Increase teacher quality score by 18% within 2 years and reduce disparities between rural and urban areas.
P1316,State Higher Education Education Reform 76,Primary,Gujarat,2023,0.708,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1317,State Early Childhood Education Reform 50,Higher Education,Kerala,2025,0.925,"Train 2486 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes."
P1318,National Vocational Education Reform 61,Vocational,Kerala,2021,0.159,Increase digital access score by 8% within 2 years and reduce disparities between rural and urban areas.
P1319,National Higher Education Education Reform 41,Early Childhood,Maharashtra,2016,0.805,"Train 2185 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes."
P1320,State Vocational Education Reform 74,Secondary,Karnataka,2015,0.333,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1321,District Early Childhood Education Reform 56,Vocational,Gujarat,2016,0.356,"Train 1742 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes."
P1322,State Higher Education Education Reform 31,Early Childhood,Gujarat,2018,0.876,Increase vocational skills score by 21% within 1 years and reduce disparities between rural and urban areas.
P1323,National Vocational Education Reform 46,Early Childhood,Punjab,2015,0.697,Increase infrastructure score by 37% within 4 years and reduce disparities between rural and urban areas.
P1324,District Early Childhood Education Reform 56,Secondary,Delhi,2016,0.766,"Train 4285 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes."
P1325,District Vocational Education Reform 7,Secondary,Tamil Nadu,2015,0.728,Increase digital access score by 40% within 4 years and reduce disparities between rural and urban areas.
P1326,State Primary Education Reform 27,Higher Education,Tamil Nadu,2017,0.568,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1327,State Early Childhood Education Reform 14,Higher Education,Tamil Nadu,2015,0.629,Increase learning outcomes score by 18% within 1 years and reduce disparities between rural and urban areas.
P1328,District Vocational Education Reform 12,Vocational,Delhi,2017,0.245,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1329,District Primary Education Reform 48,Early Childhood,Uttar Pradesh,2022,0.477,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1330,State Early Childhood Education Reform 81,Early Childhood,Maharashtra,2019,0.367,Increase infrastructure score by 23% within 5 years and reduce disparities between rural and urban areas.
P1331,National Early Childhood Education Reform 55,Vocational,Maharashtra,2022,0.784,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1332,District Vocational Education Reform 97,Vocational,Punjab,2019,0.331,"Train 97 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes."
